Date/Open/High/Low/Close/Volume
2012-01-03/325.25/332.83/324.97/663.59/7,380,500
2012-01-04/331.27/333.87/329.08/666.45/5,749,400
2012-01-05/329.83/330.75/326.89/657.21/6,590,300
2012-01-06/328.34/328.77/323.68/648.24/5,405,900
2012-01-09/322.04/322.29/309.46/620.76/11,688,800
2012-01-10/313.7/315.72/307.3/621.43/8,824,000
2012-01-11/310.59/313.52/309.4/624.25/4,817,800
2012-01-12/314.43/315.26/312.08/627.92/3,764,400
2012-01-13/311.96/312.3/309.37/623.28/4,631,800
2012-01-17/314.81/314.81/311.67/626.86/3,832,800
2012-01-18/312.14/315.82/309.9/631.18/5,544,000
2012-01-19/319.3/319.3/314.55/637.82/12,657,800
2012-01-20/294.16/294.4/289.76/584.39/21,231,800
2012-01-23/291.91/293.23/290.49/583.92/6,851,300
2012-01-24/292.07/292.74/287.92/579.34/6,134,400
2012-01-25/287.68/288.27/282.13/567.93/10,012,700
2012-01-26/284.92/286.17/281.22/566.54/6,476,500
2012-01-27/284.32/289.08/283.6/578.39/7,262,000
2012-01-30/287.95/288.92/285.63/576.11/4,678,400
2012-01-31/290.41/290.91/286.5/578.52/4,300,700
2012-02-01/291.38/291.66/288.49/579.24/4,658,700
2012-02-02/291.34/292.11/289.95/583.51/4,847,400
2012-02-03/294.23/297.42/292.93/594.7/6,360,700
2012-02-06/296.39/304.27/295.9/607.42/7,386,700
2012-02-07/302.44/303.56/300.75/605.11/4,199,700
2012-02-08/303.18/304.53/301.24/608.18/3,686,400
2012-02-09/304.87/306.1/303.36/609.79/4,546,300
2012-02-10/302.81/302.93/300.87/604.25/4,667,700
2012-02-13/304.11/305.77/303.87/610.52/3,646,100
2012-02-14/304.63/304.86/301.25/608.09/3,620,900
2012-02-15/305.32/305.32/300.15/603.9/4,869,900
2012-02-16/300.28/303.27/297.75/604.86/5,080,700
2012-02-17/301.36/302.68/300.08/602.98/4,916,400
2012-02-21/300.81/307.79/300.31/612.32/4,980,100
2012-02-22/304.84/307.24/302.22/606.28/3,948,700
2012-02-23/302.37/302.83/299.05/604.45/4,125,300
2012-02-24/302.54/304.68/301.62/608.23/3,885,600
2012-02-27/302.16/305.04/301.4/607.64/3,641,300
2012-02-28/303.86/308.73/302.71/616.7/5,716,400
2012-02-29/308.14/311.63/306.6/616.56/6,297,200
2012-03-01/309.97/311.68/307.92/620.7/4,492,000
2012-03-02/309.84/310.83/309/619.55/3,158,300
2012-03-05/309.06/310.08/304.55/612.57/3,198,400
2012-03-06/302.89/303.27/295.81/603.3/6,372,500
2012-03-07/303.39/304.45/301.8/605.14/2,538,400
2012-03-08/303.88/304.61/302.04/605.48/2,700,900
2012-03-09/302.84/304.81/298.88/598.61/5,361,100
2012-03-12/298.88/302.37/298.51/603.49/3,350,400
2012-03-13/303.24/307.77/301.64/616.09/4,508,300
2012-03-14/306.35/310.23/305.58/614.3/5,895,700
2012-03-15/307.15/310.59/306.27/619.43/4,888,300
2012-03-16/309.29/311.79/308.87/623.33/6,123,800
2012-03-19/310.4/317.45/309.46/632.24/4,361,800
2012-03-20/314.28/316.84/312.46/631.76/3,092,400
2012-03-21/316.12/322.49/315.07/638.23/4,957,600
2012-03-22/318.06/323.19/314.32/644.28/4,838,400
2012-03-23/322.09/323.04/319.25/640.83/3,894,800
2012-03-26/321.3/323.53/318.58/647.55/3,651,900
2012-03-27/322.31/325.53/321.2/645.25/4,029,400
2012-03-28/324.8/328.07/324.32/653.96/5,096,700
2012-03-29/325.5/327.07/320.95/646.63/3,862,900
2012-03-30/324.66/325.52/319.3/639.48/4,638,700
